iter	Passed	Remaining
0	130	130293
1	234	117030
2	339	112670
3	448	111614
4	553	110115
5	660	109454
6	767	108899
7	876	108729
8	985	108469
9	1104	109346
10	1213	109078
11	1323	108985
12	1429	108513
13	1534	108038
14	1642	107872
15	1748	107556
16	1863	107732
17	1968	107378
18	2076	107201
19	2182	106945
20	2290	106796
21	2412	107225
22	2516	106876
23	2620	106569
24	2725	106302
25	2831	106063
26	2936	105833
27	3042	105630
28	3174	106276
29	3286	106271
30	3398	106226
31	3503	105995
32	3612	105868
33	3720	105713
34	3825	105484
35	3934	105350
36	4039	105129
37	4147	104987
38	4253	104802
39	4359	104625
40	4463	104395
41	4569	104226
42	4673	104007
43	4782	103902
44	4887	103734
45	4994	103582
46	5099	103398
47	5204	103225
48	5311	103091
49	5420	102996
50	5529	102886
51	5632	102685
52	5740	102570
53	5844	102395
54	5953	102292
55	6062	102190
56	6165	102004
57	6270	101836
58	6391	101932
59	6499	101818
60	6603	101653
61	6708	101494
62	6811	101309
63	6922	101240
64	7028	101099
65	7134	100957
66	7239	100806
67	7343	100649
68	7448	100500
69	7552	100344
70	7658	100213
71	7763	100059
72	7870	99945
73	7974	99786
74	8080	99662
75	8185	99524
76	8290	99379
77	8394	99229
78	8500	99098
79	8604	98946
80	8710	98822
81	8812	98662
82	8919	98548
83	9026	98429
84	9130	98287
85	9235	98153
86	9340	98024
87	9448	97915
88	9551	97768
89	9655	97626
90	9760	97502
91	9865	97368
92	9975	97283
93	10081	97166
94	10185	97032
95	10290	96899
96	10392	96747
97	10497	96623
98	10608	96544
99	10711	96406
100	10819	96300
101	10924	96174
102	11028	96041
103	11130	95892
104	11234	95760
105	11340	95644
106	11455	95602
107	11564	95512
108	11667	95374
109	11771	95242
110	11879	95142
111	11986	95032
112	12089	94900
113	12194	94774
114	12300	94657
115	12405	94539
116	12511	94422
117	12616	94304
118	12719	94167
119	12824	94048
120	12931	93943
121	13036	93823
122	13140	93692
123	13246	93580
124	13349	93447
125	13455	93335
126	13564	93245
127	13671	93135
128	13787	93093
129	13893	92977
130	13996	92846
131	14106	92759
132	14209	92630
133	14312	92494
134	14418	92382
135	14527	92292
136	14631	92164
137	14736	92051
138	14840	91924
139	14944	91802
140	15046	91667
141	15151	91547
142	15258	91446
143	15363	91328
144	15466	91201
145	15569	91072
146	15672	90944
147	15777	90829
148	15881	90706
149	15987	90597
150	16093	90483
151	16198	90368
152	16304	90259
153	16407	90134
154	16510	90010
155	16613	89884
156	16717	89761
157	16820	89639
158	16922	89507
159	17026	89390
160	17131	89274
161	17237	89165
162	17341	89047
163	17444	88925
164	17550	88817
165	17653	88694
166	17758	88578
167	17863	88468
168	17969	88358
169	18073	88242
170	18178	88126
171	18280	88003
172	18385	87889
173	18488	87765
174	18592	87651
175	18704	87572
176	18810	87461
177	18912	87336
178	19019	87236
179	19126	87131
180	19229	87010
181	19334	86897
182	19438	86782
183	19543	86669
184	19647	86554
185	19751	86438
186	19855	86323
187	19964	86231
188	20069	86118
189	20172	85997
190	20274	85876
191	20378	85761
192	20485	85656
193	20592	85555
194	20695	85433
195	20798	85316
196	20903	85203
197	21007	85092
198	21112	84980
199	21223	84894
200	21330	84790
201	21435	84679
202	21552	84618
203	21656	84504
204	21763	84399
205	21866	84281
206	21968	84161
207	22076	84059
208	22186	83967
209	22293	83864
210	22405	83783
211	22512	83680
212	22620	83578
213	22727	83473
214	22834	83371
215	22936	83252
216	23042	83144
217	23146	83029
218	23250	82914
219	23352	82796
220	23456	82680
221	23562	82573
222	23664	82454
223	23767	82335
224	23875	82236
225	23979	82125
226	24084	82013
227	24190	81907
228	24294	81794
229	24397	81679
230	24501	81564
231	24614	81482
232	24736	81428
233	24849	81346
234	24954	81234
235	25063	81139
236	25168	81026
237	25280	80939
238	25382	80822
239	25486	80706
240	25591	80595
241	25697	80491
242	25802	80380
243	25907	80270
244	26013	80163
245	26117	80049
246	26227	79957
247	26334	79854
248	26437	79738
249	26557	79672
250	26661	79559
251	26763	79441
252	26870	79336
253	26978	79235
254	27084	79128
255	27193	79031
256	27302	78934
257	27413	78840
258	27526	78752
259	27634	78652
260	27739	78540
261	27850	78450
262	27955	78340
263	28068	78252
264	28173	78142
265	28281	78038
266	28388	77936
267	28497	77836
268	28601	77723
269	28708	77619
270	28826	77545
271	28934	77441
272	29047	77353
273	29157	77257
274	29263	77148
275	29370	77045
276	29484	76958
277	29594	76860
